DATE,CES3133600101
1990-01-01,975.5
1990-02-01,1090.8
1990-03-01,1087.6
1990-04-01,1085.3
1990-05-01,1078.9
1990-06-01,1077.6
1990-07-01,1066.8
1990-08-01,1055.6
1990-09-01,1058.4
1990-10-01,1060.8
1990-11-01,999.5
1990-12-01,1015.7
1991-01-01,996.5
1991-02-01,983.7
1991-03-01,973.5
1991-04-01,995.5
1991-05-01,1018.6
1991-06-01,1013.2
1991-07-01,1030.4
1991-08-01,1033.4
1991-09-01,1041.5
1991-10-01,1044.9
1991-11-01,1042.1
1991-12-01,1042.2
1992-01-01,1005.5
1992-02-01,1040.9
1992-03-01,1048.0
1992-04-01,1056.5
1992-05-01,1055.7
1992-06-01,1052.1
1992-07-01,1051.5
1992-08-01,1048.8
1992-09-01,1044.7
1992-10-01,1047.5
1992-11-01,1058.1
1992-12-01,1062.9
1993-01-01,1076.3
1993-02-01,1074.0
1993-03-01,1069.1
1993-04-01,1064.5
1993-05-01,1064.3
1993-06-01,1064.3
1993-07-01,1069.7
1993-08-01,1074.6
1993-09-01,1082.8
1993-10-01,1090.8
1993-11-01,1098.2
1993-12-01,1109.2
1994-01-01,1125.8
1994-02-01,1127.9
1994-03-01,1134.0
1994-04-01,1142.1
1994-05-01,1150.2
1994-06-01,1160.6
1994-07-01,1161.1
1994-08-01,1180.7
1994-09-01,1195.0
1994-10-01,1207.0
1994-11-01,1217.5
1994-12-01,1223.0
1995-01-01,1232.5
1995-02-01,1238.1
1995-03-01,1243.1
1995-04-01,1247.0
1995-05-01,1245.9
1995-06-01,1236.0
1995-07-01,1243.2
1995-08-01,1244.0
1995-09-01,1244.1
1995-10-01,1245.2
1995-11-01,1237.1
1995-12-01,1241.7
1996-01-01,1235.7
1996-02-01,1239.6
1996-03-01,1209.8
1996-04-01,1241.4
1996-05-01,1245.0
1996-06-01,1248.0
1996-07-01,1238.9
1996-08-01,1249.1
1996-09-01,1248.4
1996-10-01,1242.7
1996-11-01,1242.2
1996-12-01,1243.4
1997-01-01,1246.8
1997-02-01,1246.4
1997-03-01,1249.9
1997-04-01,1243.7
1997-05-01,1241.9
1997-06-01,1243.8
1997-07-01,1242.0
1997-08-01,1263.4
1997-09-01,1257.1
1997-10-01,1261.9
1997-11-01,1276.3
1997-12-01,1274.6
1998-01-01,1274.5
1998-02-01,1278.1
1998-03-01,1277.4
1998-04-01,1280.2
1998-05-01,1279.8
1998-06-01,1275.7
1998-07-01,1143.9
1998-08-01,1281.7
1998-09-01,1288.2
1998-10-01,1294.1
1998-11-01,1291.9
1998-12-01,1293.5
1999-01-01,1297.7
1999-02-01,1296.2
1999-03-01,1303.4
1999-04-01,1308.1
1999-05-01,1309.1
1999-06-01,1311.5
1999-07-01,1322.8
1999-08-01,1319.9
1999-09-01,1322.2
1999-10-01,1318.9
1999-11-01,1319.1
1999-12-01,1319.5
2000-01-01,1328.1
2000-02-01,1329.7
2000-03-01,1327.2
2000-04-01,1324.5
2000-05-01,1325.9
2000-06-01,1333.6
2000-07-01,1314.1
2000-08-01,1306.0
2000-09-01,1295.9
2000-10-01,1296.7
2000-11-01,1292.0
2000-12-01,1286.7
2001-01-01,1250.0
2001-02-01,1257.1
2001-03-01,1243.6
2001-04-01,1235.4
2001-05-01,1223.1
2001-06-01,1211.0
2001-07-01,1210.2
2001-08-01,1204.8
2001-09-01,1201.6
2001-10-01,1175.4
2001-11-01,1172.9
2001-12-01,1169.5
2002-01-01,1140.1
2002-02-01,1155.6
2002-03-01,1155.8
2002-04-01,1154.0
2002-05-01,1154.8
2002-06-01,1156.3
2002-07-01,1162.1
2002-08-01,1151.4
2002-09-01,1149.8
2002-10-01,1147.9
2002-11-01,1145.5
2002-12-01,1141.7
2003-01-01,1145.7
2003-02-01,1139.8
2003-03-01,1135.7
2003-04-01,1115.3
2003-05-01,1126.2
2003-06-01,1127.7
2003-07-01,1122.8
2003-08-01,1119.4
2003-09-01,1118.0
2003-10-01,1118.3
2003-11-01,1118.7
2003-12-01,1116.5
2004-01-01,1116.3
2004-02-01,1115.1
2004-03-01,1113.3
2004-04-01,1112.0
2004-05-01,1112.9
2004-06-01,1111.3
2004-07-01,1099.6
2004-08-01,1117.4
2004-09-01,1112.5
2004-10-01,1118.0
2004-11-01,1112.4
2004-12-01,1111.2
2005-01-01,1107.2
2005-02-01,1118.0
2005-03-01,1109.4
2005-04-01,1102.2
2005-05-01,1105.7
2005-06-01,1091.6
2005-07-01,1086.6
2005-08-01,1085.2
2005-09-01,1089.8
2005-10-01,1087.6
2005-11-01,1088.8
2005-12-01,1087.1
2006-01-01,1098.5
2006-02-01,1079.7
2006-03-01,1079.5
2006-04-01,1087.2
2006-05-01,1080.8
2006-06-01,1087.4
2006-07-01,1071.6
2006-08-01,1063.0
2006-09-01,1057.9
2006-10-01,1050.8
2006-11-01,1042.2
2006-12-01,1040.7
2007-01-01,1023.3
2007-02-01,1022.8
2007-03-01,1019.4
2007-04-01,1010.7
2007-05-01,1001.5
2007-06-01,996.5
2007-07-01,991.2
2007-08-01,988.3
2007-09-01,982.9
2007-10-01,970.5
2007-11-01,966.4
2007-12-01,957.0
2008-01-01,946.5
2008-02-01,946.1
2008-03-01,920.5
2008-04-01,901.1
2008-05-01,902.7
2008-06-01,900.6
2008-07-01,884.0
2008-08-01,855.8
2008-09-01,836.5
2008-10-01,822.5
2008-11-01,807.5
2008-12-01,782.7
2009-01-01,691.3
2009-02-01,712.6
2009-03-01,702.2
2009-04-01,675.8
2009-05-01,643.6
2009-06-01,623.3
2009-07-01,652.9
2009-08-01,653.1
2009-09-01,653.4
2009-10-01,656.6
2009-11-01,652.7
2009-12-01,653.3
2010-01-01,661.2
2010-02-01,660.4
2010-03-01,660.8
2010-04-01,667.1
2010-05-01,681.4
2010-06-01,679.9
2010-07-01,684.2
2010-08-01,685.0
2010-09-01,688.0
2010-10-01,688.0
2010-11-01,691.5
2010-12-01,692.4
2011-01-01,700.9
2011-02-01,708.9
2011-03-01,708.3
2011-04-01,714.6
2011-05-01,710.7
2011-06-01,711.6
2011-07-01,714.6
2011-08-01,716.7
2011-09-01,723.3
2011-10-01,731.6
2011-11-01,733.0
2011-12-01,740.1
2012-01-01,748.2
2012-02-01,753.7
2012-03-01,765.6
2012-04-01,770.2
2012-05-01,774.4
2012-06-01,779.2
2012-07-01,792.5
2012-08-01,787.2
2012-09-01,786.8
2012-10-01,781.6
2012-11-01,792.5
2012-12-01,796.1
2013-01-01,800.0
2013-02-01,806.1
2013-03-01,811.7
2013-04-01,813.2
2013-05-01,818.2
2013-06-01,825.7
2013-07-01,813.4
2013-08-01,831.7
2013-09-01,836.6
2013-10-01,841.9
2013-11-01,847.9
2013-12-01,852.4
2014-01-01,842.5
2014-02-01,858.8
2014-03-01,860.6
2014-04-01,857.4
2014-05-01,864.5
2014-06-01,873.9
2014-07-01,883.0
2014-08-01,878.8
2014-09-01,879.5
2014-10-01,882.1
2014-11-01,889.8
2014-12-01,893.2
2015-01-01,892.3
2015-02-01,895.6
2015-03-01,899.4
2015-04-01,901.1
2015-05-01,912.3
2015-06-01,911.4
2015-07-01,919.2
2015-08-01,922.3
2015-09-01,928.1
2015-10-01,928.8
2015-11-01,926.8
2015-12-01,925.9
2016-01-01,930.9
2016-02-01,933.2
2016-03-01,933.1
2016-04-01,942.9
2016-05-01,940.3
2016-06-01,941.9
2016-07-01,960.4
2016-08-01,949.1
2016-09-01,947.1
2016-10-01,949.0
2016-11-01,950.2
2016-12-01,952.8
2017-01-01,957.1
2017-02-01,950.9
2017-03-01,956.0
2017-04-01,958.0
2017-05-01,962.7
2017-06-01,962.8
2017-07-01,942.7
2017-08-01,966.5
2017-09-01,971.4
2017-10-01,973.5
2017-11-01,977.9
2017-12-01,981.1
2018-01-01,986.0
2018-02-01,991.6
2018-03-01,997.7
2018-04-01,998.0
2018-05-01,991.8
2018-06-01,996.8
2018-07-01,993.7
2018-08-01,993.7
2018-09-01,1001.6
2018-10-01,1012.3
2018-11-01,1009.0
2018-12-01,1009.8
2019-01-01,1013.8
2019-02-01,1013.5
2019-03-01,1008.0
2019-04-01,1003.4
2019-05-01,1002.3
2019-06-01,998.2
2019-07-01,990.0
2019-08-01,984.4
2019-09-01,988.7
2019-10-01,948.3
2019-11-01,985.8
2019-12-01,985.1
2020-01-01,980.4
2020-02-01,988.3
2020-03-01,980.5
2020-04-01,631.4
2020-05-01,672.7
2020-06-01,862.6
2020-07-01,905.9
2020-08-01,901.9
2020-09-01,918.0
2020-10-01,923.3
2020-11-01,938.4
2020-12-01,946.3
2021-01-01,951.0
2021-02-01,954.7
2021-03-01,962.9
2021-04-01,913.8
2021-05-01,933.4
2021-06-01,928.5
2021-07-01,946.2
2021-08-01,961.0
2021-09-01,964.2
2021-10-01,998.4
2021-11-01,983.4
2021-12-01,984.6
2022-01-01,984.9
2022-02-01,970.9
2022-03-01,989.3
2022-04-01,996.3
2022-05-01,988.9
2022-06-01,990.6
2022-07-01,999.0
2022-08-01,1011.1
2022-09-01,1020.1
2022-10-01,1029.1
2022-11-01,1031.4
2022-12-01,1038.8
